state,commodity_group,commodity,year,arrival_quantity,arrival_unit,modal_price,price_unit
Tamil Nadu,Vegetables,Amaranthus,2026.0,17808.91,Metric Tonnes,2933.92,Rs./Quintal
Tamil Nadu,Vegetables,Ashgourd,2026.0,8603.48,Metric Tonnes,2091.35,Rs./Quintal
Tamil Nadu,Vegetables,Baby Corn,2026.0,344.2,Metric Tonnes,2802.03,Rs./Quintal
Tamil Nadu,Vegetables,Banana - Green,2026.0,15996.29,Metric Tonnes,3062.16,Rs./Quintal
Tamil Nadu,Vegetables,Beetroot,2026.0,8640.96,Metric Tonnes,4232.62,Rs./Quintal
Tamil Nadu,Vegetables,Bhindi(Ladies Finger),2026.0,14612.69,Metric Tonnes,3824.24,Rs./Quintal
Tamil Nadu,Vegetables,Bitter gourd,2026.0,7348.47,Metric Tonnes,4607.05,Rs./Quintal
Tamil Nadu,Vegetables,Bottle gourd,2026.0,13046.64,Metric Tonnes,1997.4,Rs./Quintal
Tamil Nadu,Vegetables,Brinjal,2026.0,14307.78,Metric Tonnes,4033.77,Rs./Quintal
Tamil Nadu,Vegetables,Cabbage,2026.0,10329.72,Metric Tonnes,2851.11,Rs./Quintal
Tamil Nadu,Vegetables,Capsicum,2026.0,1807.48,Metric Tonnes,5571.87,Rs./Quintal
Tamil Nadu,Vegetables,Carrot,2026.0,8232.62,Metric Tonnes,5198.87,Rs./Quintal
Tamil Nadu,Vegetables,Cauliflower,2026.0,7594.09,Metric Tonnes,3269.31,Rs./Quintal
Tamil Nadu,Vegetables,Chow Chow,2026.0,5285.84,Metric Tonnes,3045.36,Rs./Quintal
Tamil Nadu,Vegetables,Cluster beans,2026.0,7399.96,Metric Tonnes,3895.64,Rs./Quintal
Tamil Nadu,Vegetables,Colacasia,2026.0,1784.5,Metric Tonnes,4457.48,Rs./Quintal
Tamil Nadu,Vegetables,Coriander(Leaves),2026.0,8871.17,Bundle,4723.82,Rs./Bundle
Tamil Nadu,Vegetables,Cowpea(Veg),2026.0,2297.42,Metric Tonnes,3898.63,Rs./Quintal
Tamil Nadu,Vegetables,Cucumbar(Kheera),2026.0,4022.42,Metric Tonnes,3738.62,Rs./Quintal
Tamil Nadu,Vegetables,Drumstick,2026.0,6173.66,Metric Tonnes,5207.92,Rs./Quintal
Tamil Nadu,Vegetables,Elephant Yam(Suran)/Amorphophallus,2026.0,3697.24,Metric Tonnes,3856.94,Rs./Quintal
Tamil Nadu,Vegetables,Garlic,2026.0,2026.25,Metric Tonnes,17875.87,Rs./Quintal
Tamil Nadu,Vegetables,Ginger(Green),2026.0,4134.17,Metric Tonnes,11407.32,Rs./Quintal
Tamil Nadu,Vegetables,Green Avare(W),2026.0,7269.21,Metric Tonnes,5971.6,Rs./Quintal
Tamil Nadu,Vegetables,Green Chilli,2026.0,10685.42,Metric Tonnes,4661.68,Rs./Quintal
Tamil Nadu,Vegetables,Indian Beans(Seam),2026.0,1647.59,Metric Tonnes,5481.7,Rs./Quintal
Tamil Nadu,Vegetables,Knool Khol,2026.0,3200.06,Metric Tonnes,3632.56,Rs./Quintal
Tamil Nadu,Vegetables,Lemon,2026.0,5663.12,Metric Tonnes,8678.53,Rs./Quintal
Tamil Nadu,Vegetables,Mango(Raw-Ripe),2026.0,6375.68,Metric Tonnes,3538.36,Rs./Quintal
Tamil Nadu,Vegetables,Mashrooms,2026.0,446.12,Metric Tonnes,12144.98,Rs./Quintal
Tamil Nadu,Vegetables,Mint(Pudina),2026.0,7839.47,Bundle,3790.8,Rs./Bundle
Tamil Nadu,Vegetables,Onion,2026.0,23126.28,Metric Tonnes,3034.17,Rs./Quintal
Tamil Nadu,Vegetables,Onion Green,2026.0,20014.59,Metric Tonnes,4621.36,Rs./Quintal
Tamil Nadu,Vegetables,Potato,2026.0,12099.83,Metric Tonnes,3359.25,Rs./Quintal
Tamil Nadu,Vegetables,Pumpkin,2026.0,8903.44,Metric Tonnes,1955.18,Rs./Quintal
Tamil Nadu,Vegetables,Raddish,2026.0,10912.35,Metric Tonnes,2656.37,Rs./Quintal
Tamil Nadu,Vegetables,Ridgeguard(Tori),2026.0,9698.74,Metric Tonnes,4521.51,Rs./Quintal
Tamil Nadu,Vegetables,Snakeguard,2026.0,10618.63,Metric Tonnes,3376.05,Rs./Quintal
Tamil Nadu,Vegetables,Sweet Potato,2026.0,3745.97,Metric Tonnes,3680.67,Rs./Quintal
Tamil Nadu,Vegetables,Tapioca,2026.0,3622.38,Metric Tonnes,3064.12,Rs./Quintal
Tamil Nadu,Vegetables,Thondekai,2026.0,2990.95,Metric Tonnes,4108.06,Rs./Quintal
Tamil Nadu,Vegetables,Tomato,2026.0,48713.19,Metric Tonnes,2369.65,Rs./Quintal
Tamil Nadu,Vegetables,Turnip,2026.0,290.42,Metric Tonnes,4071.09,Rs./Quintal
Tamil Nadu,Vegetables,Yam(Ratalu),2026.0,2239.79,Metric Tonnes,5353.43,Rs./Quintal
